text,label,category
"계약 해지 시 을은 위약금 500만 원을 갑에게 지급하여야 한다.",1,"과도한 위약금"
"납품이 하루라도 지연되면 을은 총 계약금의 30퍼센트를 지체상금으로 부담한다.",1,"과도한 위약금"
"계약 위반 시 실제 손해액과 관계없이 일체의 손해를 배상하여야 한다.",1,"과도한 위약금"
"중도 해지하는 경우 이미 지급한 대금은 반환하지 않으며 추가 배상금도 지급한다.",1,"과도한 위약금"
"임차인이 계약을 해지하면 보증금 전액을 위약금으로 몰수한다.",1,"과도한 위약금"
"을은 경미한 의무 위반에도 계약금 전액 상당의 벌금을 부담한다.",1,"과도한 위약금"
"계약 만료 60일 전까지 해지 의사를 통지하지 않으면 계약은 자동 연장된다.",1,"자동 연장"
"사용자가 별도 통지하지 않는 경우 동일 조건으로 1년씩 자동 갱신된다.",1,"자동 연장"
"해지 신청이 없으면 본 계약은 계속 갱신되는 것으로 본다.",1,"자동 연장"
"갑은 자동 연장 사실을 별도로 고지하지 않아도 된다.",1,"자동 연장"
"계약 종료 전 별도 안내 없이 서비스 이용 기간이 자동 연장된다.",1,"자동 연장"
"회사는 서비스 장애나 자료 손실에 대하여 어떠한 책임도 지지 않는다.",1,"책임 면책"
"갑은 고의 또는 과실 여부와 관계없이 손해에 대하여 책임을 지지 않는다.",1,"책임 면책"
"을은 회사의 귀책 사유로 발생한 손해에 대해서도 배상을 청구할 수 없다.",1,"책임 면책"
"제공자는 모든 법적 책임에서 면책된다.",1,"책임 면책"
"회사는 결과물 사용으로 인한 손해를 배상하지 않는다.",1,"책임 면책"
"갑은 사전 통지 없이 계약 조건을 임의로 변경할 수 있다.",1,"일방적 변경"
"회사는 별도 동의 없이 수수료와 지급 조건을 변경할 수 있다.",1,"일방적 변경"
"서비스 내용은 회사 사정에 따라 언제든지 변경될 수 있다.",1,"일방적 변경"
"갑은 을에게 통지하지 않고 업무 범위를 추가할 수 있다.",1,"일방적 변경"
"임대인은 필요하다고 판단하면 관리비 산정 방식을 일방적으로 변경할 수 있다.",1,"일방적 변경"
"갑은 언제든지 본 계약을 즉시 해지할 수 있다.",1,"일방적 해지"
"회사는 통보만으로 이용 계약을 일방적으로 해지할 수 있다.",1,"일방적 해지"
"갑은 사유를 밝히지 않고 계약을 해제할 수 있다.",1,"일방적 해지"
"을에게 시정 기회를 부여하지 않고 계약을 즉시 종료할 수 있다.",1,"일방적 해지"
"임대인은 필요 시 임차인에게 즉시 퇴거를 요구할 수 있다.",1,"일방적 해지"
"결과물에 관한 모든 권리는 대금 지급 여부와 관계없이 갑에게 귀속된다.",1,"권리 귀속"
"을은 산출물의 저작권과 지식재산권을 무상으로 양도한다.",1,"권리 귀속"
"회사는 제출된 콘텐츠를 기간 제한 없이 무상으로 사용할 수 있다.",1,"권리 귀속"
"프리랜서는 결과물을 포트폴리오에 사용할 수 없다.",1,"권리 귀속"
"모든 2차적 저작물 작성권은 별도 대가 없이 갑에게 이전된다.",1,"권리 귀속"
"대금은 검수 후 지급하되 검수 완료 시점은 갑이 정한다.",1,"지급 지연"
"회사는 내부 사정에 따라 대금 지급을 보류할 수 있다.",1,"지급 지연"
"잔금은 추후 정산 후 지급하며 구체적인 지급일은 정하지 않는다.",1,"지급 지연"
"검수 결과에 이의가 있는 경우 회사는 지급하지 않을 수 있다.",1,"지급 지연"
"성과가 충분하지 않다고 판단되면 보수를 지급하지 않는다.",1,"지급 지연"
"계약 종료 후 2년 동안 동종 업계에 취업할 수 없다.",1,"경업 금지"
"을은 경쟁 업체와 거래하거나 유사 업무를 수행할 수 없다.",1,"경업 금지"
"프리랜서는 계약 종료 후 1년간 관련 영업을 할 수 없다.",1,"경업 금지"
"임직원은 퇴사 후 회사와 유사한 사업을 영위할 수 없다.",1,"경업 금지"
"을은 갑의 고객과 직접 거래하는 행위를 영구히 금지한다.",1,"경업 금지"
"본 계약의 분쟁은 갑의 본점 소재지 법원을 전속 관할로 한다.",1,"관할 및 분쟁"
"모든 분쟁은 회사가 지정한 중재기관에서만 해결한다.",1,"관할 및 분쟁"
"소송은 임차인의 주소와 무관하게 임대인이 선택한 관할 법원에서 진행한다.",1,"관할 및 분쟁"
"분쟁 발생 시 을은 관할 법원 선택에 이의를 제기할 수 없다.",1,"관할 및 분쟁"
"계약 관련 소송 비용은 결과와 관계없이 을이 부담한다.",1,"관할 및 분쟁"
